Coolant_Temperature,Engine_RPM,Vehicle_Speed,Throttle_Position,Engine_Load,Intake_Air_Temp,MAF_Air_Flow,Absolute_Throttle_Position_B,Pedal_Position_D,Pedal_Position_E,Commanded_Throttle_Actuator,Commanded_Equiv_Ratio,Relative_Throttle_Position,Timing_Advance,Control_Module_Voltage,Intake_Manifold_Pressure,Engine_Run_Time
87,753,0,14.5,22.7,70,3.7,39.2,18.4,9.0,5.9,0.982,3.5,6.0,14.0,26,3237
87,818,0,15.7,35.7,69,1.72,39.2,18.4,9.0,7.1,0.982,5.5,7.5,13.88,35,3259
87,737,0,16.1,43.9,69,2.99,39.2,18.4,9.0,3.9,1.005,3.5,5.5,13.28,42,3281
87,774,0,14.5,21.6,70,1.82,39.2,18.0,9.0,5.9,0.996,5.5,-2.0,14.05,26,3303
87,794,0,15.7,35.7,69,2.07,39.2,18.4,9.0,3.9,1.003,6.3,3.0,13.7,38,3326
87,744,0,14.5,23.1,70,3.52,39.2,18.4,9.0,4.3,0.982,3.5,6.0,13.97,29,3348
87,783,0,15.7,21.2,70,1.8,39.2,18.4,9.0,6.3,0.987,5.5,8.0,14.12,26,3370
87,740,0,16.5,36.9,70,2.99,39.2,18.4,9.0,3.9,1.005,3.5,-5.0,13.88,40,3393
87,787,0,14.5,23.1,69,1.99,39.2,18.4,9.0,5.9,0.982,3.9,6.0,14.05,26,3415
87,822,0,15.7,34.1,69,1.97,39.2,18.4,9.0,6.7,0.998,5.5,7.5,13.8,40,3437
